,Year,Player,Age,100_Score,PM_Bonus,Avail_Bonus,fmvp_bonus,mvp_bonus,all_nba_points,all_team,holy_grail
0,1980,Kareem Abdul-Jabbar,32,30.241106719367586,10.7,9.29959349593496,0.0,80.0,50.0,1st,180.24070021530252
2,1980,Alvan Adams,25,29.640316205533598,8.4,7.890666666666666,0.0,0.0,0.0,0,45.93098287220027
3,1980,Tiny Archibald,31,24.974308300395258,4.0,8.913333333333332,0.0,0.0,0.0,0,37.88764163372859
5,1980,Greg Ballard,25,21.83201581027668,6.5,8.439837398373983,0.0,0.0,0.0,0,36.77185320865066
6,1980,Mike Bantom,28,17.918972332015812,4.3,8.159307359307359,0.0,0.0,0.0,0,30.378279691323172
7,1980,Rick Barry,35,20.359683794466406,4.699999999999999,7.322222222222222,0.0,0.0,0.0,0,32.381906016688625
8,1980,Kent Benson,25,21.59881422924901,4.5,7.457077625570776,0.0,0.0,0.0,0,33.55589185481979
9,1980,Kent Benson,25,21.59881422924901,5.300000000000001,6.213690476190476,0.0,0.0,0.0,0,33.11250470543949
10,1980,Kent Benson,25,23.284584980237156,4.5,7.457077625570776,0.0,0.0,0.0,0,35.24166260580793
11,1980,Kent Benson,25,23.284584980237156,5.300000000000001,6.213690476190476,0.0,0.0,0.0,0,34.79827545642763
12,1980,Henry Bibby,30,20.768774703557312,1.4,7.948373983739837,0.0,0.0,0.0,0,30.11714868729715
13,1980,Larry Bird,23,31.675889328063242,9.3,9.070325203252033,0.0,0.0,50.0,1st,100.04621453131529
14,1980,Otis Birdsong,24,25.505928853754938,6.2,8.984959349593495,0.0,0.0,0.0,0,40.690888203348436
23,1980,Dudley Bradley,22,22.047430830039524,4.7,7.938617886178862,0.0,0.0,0.0,0,34.68604871621839
24,1980,Mike Bratz,24,23.747035573122528,1.4,7.404471544715447,0.0,0.0,0.0,0,32.55150711783797
25,1980,Ron Brewer,24,18.308300395256914,2.2,8.899593495934958,0.0,0.0,0.0,0,29.407893891191872
26,1980,Junior Bridgeman,26,24.26482213438735,4.1,8.25925925925926,0.0,0.0,0.0,0,36.62408139364661
27,1980,Allan Bristow,28,17.57509881422925,5.0,8.276422764227643,0.0,0.0,0.0,0,30.851521578456893
28,1980,Fred Brown,31,24.26482213438735,3.3,7.459583333333333,0.0,0.0,0.0,0,35.02440546772068
30,1980,Quinn Buckner,25,29.26284584980237,6.2,6.98905472636816,0.0,0.0,0.0,0,42.45190057617053
31,1980,Don Buse,29,18.357707509881422,4.3999999999999995,8.485185185185186,0.0,0.0,0.0,0,31.242892695066608
32,1980,Austin Carr,31,17.511857707509883,1.1999999999999997,7.204761904761906,0.0,0.0,0.0,0,25.916619612271788
33,1980,Kenny Carr,24,21.10671936758893,2.8,7.593248945147679,0.0,0.0,0.0,0,31.49996831273661
34,1980,Kenny Carr,24,21.10671936758893,3.0999999999999996,7.34009009009009,0.0,0.0,0.0,0,31.54680945767902
35,1980,Kenny Carr,24,21.24308300395257,2.8,7.593248945147679,0.0,0.0,0.0,0,31.63633194910025
36,1980,Kenny Carr,24,21.24308300395257,3.0999999999999996,7.34009009009009,0.0,0.0,0.0,0,31.68317309404266
37,1980,M.L. Carr,29,24.944664031620555,5.3,7.8983739837398375,0.0,0.0,0.0,0,38.14303801536039
38,1980,Bill Cartwright,22,17.67786561264822,4.6,9.308130081300813,0.0,0.0,0.0,0,31.585995693949034
40,1980,Maurice Cheeks,23,26.881422924901187,6.2,8.586919831223629,0.0,0.0,0.0,0,41.668342756124815
42,1980,Jim Chones,30,18.112648221343875,2.1999999999999997,8.386178861788618,0.0,0.0,0.0,0,28.698827083132493
43,1980,Jim Cleamons,30,15.658102766798418,2.0999999999999996,7.531223628691983,0.0,0.0,0.0,0,25.2893263954904
45,1980,Jim Cleamons,30,15.74505928853755,2.0999999999999996,7.531223628691983,0.0,0.0,0.0,0,25.37628291722953
47,1980,Doug Collins,28,22.08300395256917,1.5,5.074999999999999,0.0,0.0,0.0,0,28.65800395256917
48,1980,Michael Cooper,23,18.203557312252965,3.9,7.872764227642277,0.0,0.0,0.0,0,29.97632153989524
49,1980,Wayne Cooper,23,17.59288537549407,0.10000000000000009,7.521097046413502,0.0,0.0,0.0,0,25.213982421907573
50,1980,Dave Cowens,31,25.18577075098814,5.3,7.671212121212122,0.0,0.0,0.0,0,38.15698287220026
51,1980,Charlie Criss,31,20.09881422924901,1.6,7.614814814814816,0.0,0.0,0.0,0,29.31362904406383
52,1980,Bob Dandridge,32,21.365612648221344,3.6999999999999997,6.237777777777778,0.0,0.0,0.0,0,31.30339042599912
53,1980,Adrian Dantley,24,20.952569169960473,7.699999999999999,8.465686274509803,0.0,0.0,0.0,0,37.11825544447028
54,1980,Johnny Davis,24,17.318181818181817,1.7,9.01788617886179,0.0,0.0,0.0,0,28.036067997043606
55,1980,Walter Davis,25,28.371541501976285,7.300000000000001,8.078666666666667,0.0,0.0,0.0,0,43.750208168642956
56,1980,Darryl Dawkins,23,24.16600790513834,4.1000000000000005,8.509583333333333,0.0,0.0,0.0,0,36.77559123847168
58,1980,Coby Dietrick,31,18.233201581027668,4.6,7.583122362869198,0.0,0.0,0.0,0,30.416323943896863
60,1980,John Drew,25,25.735177865612645,3.4000000000000004,8.215833333333332,0.0,0.0,0.0,0,37.35101119894598
62,1980,Mike Dunleavy,25,18.893280632411066,1.4000000000000001,5.431372549019608,0.0,0.0,0.0,0,25.724653181430675
63,1980,T.R. Dunn,24,19.16403162055336,4.4,7.711788617886179,0.0,0.0,0.0,0,31.275820238439536
64,1980,James Edwards,24,20.8102766798419,3.2,8.288617886178862,0.0,0.0,0.0,0,32.29889456602076
65,1980,Alex English,26,20.23913043478261,4.9,8.278205128205128,0.0,0.0,0.0,0,33.41733556298774
66,1980,Alex English,26,20.23913043478261,4.6,6.425925925925926,0.0,0.0,0.0,0,31.265056360708535
67,1980,Alex English,26,20.23913043478261,5.6,5.245833333333334,0.0,0.0,0.0,0,31.084963768115944
68,1980,Alex English,26,19.784584980237156,4.9,8.278205128205128,0.0,0.0,0.0,0,32.962790108442285
69,1980,Alex English,26,19.784584980237156,4.6,6.425925925925926,0.0,0.0,0.0,0,30.81051090616308
70,1980,Alex English,26,19.784584980237156,5.6,5.245833333333334,0.0,0.0,0.0,0,30.63041831357049
71,1980,Alex English,26,21.011857707509883,4.9,8.278205128205128,0.0,0.0,0.0,0,34.19006283571501
72,1980,Alex English,26,21.011857707509883,4.6,6.425925925925926,0.0,0.0,0.0,0,32.03778363343581
73,1980,Alex English,26,21.011857707509883,5.6,5.245833333333334,0.0,0.0,0.0,0,31.857691040843218
74,1980,Julius Erving,29,33.94861660079051,11.2,8.805128205128206,0.0,0.0,50.0,1st,103.95374480591872
75,1980,Chris Ford,31,20.355731225296445,6.199999999999999,7.763926940639269,0.0,0.0,0.0,0,34.319658165935714
77,1980,Phil Ford,23,29.118577075098813,3.6,8.663008130081302,0.0,0.0,0.0,0,41.381585205180116
79,1980,Terry Furlow,25,18.00395256916996,2.4000000000000004,7.858771929824561,0.0,0.0,0.0,0,28.262724498994523
80,1980,Terry Furlow,25,18.00395256916996,4.3,3.3238095238095235,0.0,0.0,0.0,0,25.627762092979484
81,1980,Terry Furlow,25,18.00395256916996,1.8,6.790303030303031,0.0,0.0,0.0,0,26.594255599472994
82,1980,Terry Furlow,25,25.24703557312253,2.4000000000000004,7.858771929824561,0.0,0.0,0.0,0,35.50580750294709
83,1980,Terry Furlow,25,25.24703557312253,4.3,3.3238095238095235,0.0,0.0,0.0,0,32.87084509693206
84,1980,Terry Furlow,25,25.24703557312253,1.8,6.790303030303031,0.0,0.0,0.0,0,33.837338603425565
85,1980,Terry Furlow,25,15.887351778656125,2.4000000000000004,7.858771929824561,0.0,0.0,0.0,0,26.146123708480687
88,1980,Mike Gale,29,19.041501976284586,3.6999999999999997,6.666666666666667,0.0,0.0,0.0,0,29.408168642951253
89,1980,George Gervin,27,22.154150197628457,6.2,8.961538461538462,0.0,0.0,50.0,1st,87.31568865916691
90,1980,Artis Gilmore,30,22.1600790513834,7.0,6.466666666666667,0.0,0.0,0.0,0,35.62674571805007
91,1980,Mike Green,28,21.889328063241106,2.0000000000000004,3.585714285714286,0.0,0.0,0.0,0,27.47504234895539
92,1980,Dave Greenwood,22,19.92292490118577,4.5,8.870325203252033,0.0,0.0,0.0,0,33.2932501044378
93,1980,Kevin Grevey,26,18.68181818181818,3.5,7.130256410256409,0.0,0.0,0.0,0,29.312074592074588
94,1980,Paul Griffin,26,15.944664031620553,6.800000000000001,7.676422764227643,0.0,0.0,0.0,0,30.421086795848193
95,1980,Bob Gross,26,21.632411067193676,3.4999999999999996,6.683333333333334,0.0,0.0,0.0,0,31.81574440052701
97,1980,Steve Hawes,29,24.3498023715415,6.3999999999999995,7.726422764227642,0.0,0.0,0.0,0,38.47622513576914
98,1980,Elvin Hayes,34,23.061264822134387,3.5999999999999996,9.329629629629629,0.0,0.0,0.0,0,35.990894451764014
99,1980,Spencer Haywood,30,19.434782608695652,1.5999999999999999,7.098245614035087,0.0,0.0,0.0,0,28.13302822273074
101,1980,Armond Hill,26,21.567193675889328,1.5,7.914767932489451,0.0,0.0,0.0,0,30.98196160837878
102,1980,Lionel Hollins,26,23.887351778656125,0.0,5.705673758865249,0.0,0.0,0.0,0,29.593025537521374
103,1980,Lionel Hollins,26,23.887351778656125,1.9,4.7481481481481485,0.0,0.0,0.0,0,30.53549992680427
104,1980,Lionel Hollins,26,23.511857707509883,0.0,5.705673758865249,0.0,0.0,0.0,0,29.21753146637513
105,1980,Lionel Hollins,26,23.511857707509883,1.9,4.7481481481481485,0.0,0.0,0.0,0,30.160005855658028
107,1980,Dan Issel,31,21.650197628458496,6.5,9.04959349593496,0.0,0.0,0.0,0,37.19979112439346
108,1980,Clemon Johnson,23,17.365612648221344,4.6000000000000005,7.217299578059071,0.0,0.0,0.0,0,29.182912226280415
109,1980,Dennis Johnson,25,25.83596837944664,5.699999999999999,9.025925925925925,0.0,0.0,35.0,2nd,75.56189430537256
110,1980,Eddie Johnson,24,25.31818181818182,6.199999999999999,8.58565400843882,0.0,0.0,0.0,0,40.10383582662064
111,1980,George Johnson,31,21.899209486166008,5.200000000000001,8.01604938271605,0.0,0.0,0.0,0,35.11525886888206
112,1980,George Johnson,31,21.899209486166008,4.7,7.584,0.0,0.0,0.0,0,34.18320948616601
113,1980,George Johnson,23,19.535573122529645,5.200000000000001,8.01604938271605,0.0,0.0,0.0,0,32.75162250524569
114,1980,George Johnson,23,19.535573122529645,4.7,7.584,0.0,0.0,0.0,0,31.819573122529643
115,1980,John Johnson,32,23.59683794466403,4.8999999999999995,8.52716049382716,0.0,0.0,0.0,0,37.02399843849119
116,1980,Magic Johnson,20,29.49604743083004,9.5,8.763203463203464,70.0,0.0,0.0,0,117.7592508940335
117,1980,Marques Johnson,23,26.44664031620553,9.100000000000001,8.621645021645023,0.0,0.0,35.0,2nd,79.16828533785056
118,1980,Mickey Johnson,27,26.581027667984188,7.4,8.694715447154472,0.0,0.0,0.0,0,42.67574311513866
119,1980,Ollie Johnson,30,16.715415019762844,2.1,7.209704641350211,0.0,0.0,0.0,0,26.025119661113056
120,1980,Bobby Jones,28,26.282608695652172,7.1,8.023456790123458,0.0,0.0,0.0,0,41.40606548577563
121,1980,Caldwell Jones,29,20.934782608695652,3.8,8.797083333333333,0.0,0.0,0.0,0,33.531865942028986
122,1980,Dwight Jones,27,18.642292490118578,2.5,6.890090090090091,0.0,0.0,0.0,0,28.03238258020867
123,1980,Dwight Jones,27,18.642292490118578,3.3999999999999995,5.740880503144654,0.0,0.0,0.0,0,27.78317299326323
124,1980,Dwight Jones,27,18.90316205533597,2.5,6.890090090090091,0.0,0.0,0.0,0,28.29325214542606
125,1980,Dwight Jones,27,18.90316205533597,3.3999999999999995,5.740880503144654,0.0,0.0,0.0,0,28.04404255848062
127,1980,Eddie Jordan,25,27.669960474308297,4.4,8.706910569105691,0.0,0.0,0.0,0,40.77687104341399
128,1980,Rich Kelley,26,23.6897233201581,5.8,7.632083333333333,0.0,0.0,0.0,0,37.12180665349143
129,1980,Rich Kelley,26,23.6897233201581,5.199999999999999,6.371929824561404,0.0,0.0,0.0,0,35.2616531447195
130,1980,Rich Kelley,26,22.47826086956522,5.8,7.632083333333333,0.0,0.0,0.0,0,35.91034420289855
131,1980,Rich Kelley,26,22.47826086956522,5.199999999999999,6.371929824561404,0.0,0.0,0.0,0,34.05019069412662
132,1980,Greg Kelser,22,19.118577075098813,3.2,5.799333333333333,0.0,0.0,0.0,0,28.117910408432145
133,1980,Larry Kenon,27,18.26679841897233,4.6,8.787179487179486,0.0,0.0,0.0,0,31.653977906151816
134,1980,Reggie King,22,21.041501976284586,5.4,7.96910569105691,0.0,0.0,0.0,0,34.410607667341495
135,1980,Billy Knight,27,18.990118577075098,4.6,7.546666666666667,0.0,0.0,0.0,0,31.136785243741762
136,1980,Toby Knight,24,16.772727272727273,5.0,9.035802469135803,0.0,0.0,0.0,0,30.808529741863076
137,1980,Sam Lacey,31,29.23913043478261,7.8999999999999995,8.377777777777778,0.0,0.0,0.0,0,45.51690821256039
138,1980,Mark Landsberger,24,17.899209486166008,0.9000000000000001,7.094372294372295,0.0,0.0,0.0,0,25.8935817805383
140,1980,Mark Landsberger,24,17.675889328063242,0.9000000000000001,7.094372294372295,0.0,0.0,0.0,0,25.670261622435536
142,1980,Bob Lanier,31,22.118577075098813,6.9,7.582539682539682,0.0,0.0,0.0,0,36.60111675763849
143,1980,Bob Lanier,31,22.118577075098813,6.6,6.228828828828829,0.0,0.0,0.0,0,34.947405903927645
144,1980,Bob Lanier,31,22.118577075098813,7.5,4.575641025641026,0.0,0.0,0.0,0,34.19421810073984
145,1980,Bob Lanier,31,20.118577075098813,6.9,7.582539682539682,0.0,0.0,0.0,0,34.60111675763849
146,1980,Bob Lanier,31,20.118577075098813,6.6,6.228828828828829,0.0,0.0,0.0,0,32.947405903927645
147,1980,Bob Lanier,31,20.118577075098813,7.5,4.575641025641026,0.0,0.0,0.0,0,32.19421810073984
148,1980,Bob Lanier,31,28.16403162055336,6.9,7.582539682539682,0.0,0.0,0.0,0,42.64657130309304
149,1980,Bob Lanier,31,28.16403162055336,6.6,6.228828828828829,0.0,0.0,0.0,0,40.99286044938219
150,1980,Bob Lanier,31,28.16403162055336,7.5,4.575641025641026,0.0,0.0,0.0,0,40.239672646194386
151,1980,Allen Leavell,22,20.632411067193676,4.1,7.890476190476191,0.0,0.0,0.0,0,32.622887257669866
152,1980,Ron Lee,27,20.488142292490117,2.8000000000000003,5.979781420765027,0.0,0.0,0.0,0,29.267923713255144
153,1980,Ron Lee,27,20.488142292490117,4.8999999999999995,4.656989247311828,0.0,0.0,0.0,0,30.045131539801943
154,1980,Ron Lee,27,21.16205533596838,2.8000000000000003,5.979781420765027,0.0,0.0,0.0,0,29.94183675673341
155,1980,Ron Lee,27,21.16205533596838,4.8999999999999995,4.656989247311828,0.0,0.0,0.0,0,30.719044583280205
156,1980,John Long,23,16.891304347826086,4.3,8.026086956521738,0.0,0.0,0.0,0,29.217391304347824
157,1980,John Lucas,26,20.99802371541502,4.0,8.787083333333333,0.0,0.0,0.0,0,33.78510704874835
158,1980,Maurice Lucas,27,25.067193675889328,3.3,7.190476190476191,0.0,0.0,0.0,0,35.55766986636552
159,1980,Maurice Lucas,27,25.067193675889328,1.9,5.6016260162601625,0.0,0.0,0.0,0,32.56881969214949
160,1980,Maurice Lucas,27,25.067193675889328,5.5,4.684848484848485,0.0,0.0,0.0,0,35.252042160737815
161,1980,Maurice Lucas,27,24.567193675889328,3.3,7.190476190476191,0.0,0.0,0.0,0,35.05766986636552
162,1980,Maurice Lucas,27,24.567193675889328,1.9,5.6016260162601625,0.0,0.0,0.0,0,32.06881969214949
163,1980,Maurice Lucas,27,24.567193675889328,5.5,4.684848484848485,0.0,0.0,0.0,0,34.752042160737815
164,1980,Maurice Lucas,27,25.33596837944664,3.3,7.190476190476191,0.0,0.0,0.0,0,35.826444569922835
165,1980,Maurice Lucas,27,25.33596837944664,1.9,5.6016260162601625,0.0,0.0,0.0,0,32.8375943957068
166,1980,Maurice Lucas,27,25.33596837944664,5.5,4.684848484848485,0.0,0.0,0.0,0,35.52081686429513
168,1980,Moses Malone,24,22.458498023715414,6.8,9.295934959349594,0.0,0.0,35.0,2nd,73.55443298306501
170,1980,Cedric Maxwell,24,23.41106719367589,9.4,8.763333333333332,0.0,0.0,0.0,0,41.57440052700922
171,1980,Scott May,25,18.395256916996047,2.0999999999999996,6.003703703703704,0.0,0.0,0.0,0,26.49896062069975
172,1980,Bob McAdoo,28,19.602766798418973,3.0,7.482183908045977,0.0,0.0,0.0,0,30.08495070646495
177,1980,George McGinnis,29,24.268774703557312,4.4,7.891324200913242,0.0,0.0,0.0,0,36.56009890447055
178,1980,George McGinnis,29,24.268774703557312,4.9,6.164444444444444,0.0,0.0,0.0,0,35.33321914800175
179,1980,George McGinnis,29,24.268774703557312,3.5,4.666666666666666,0.0,0.0,0.0,0,32.43544137022398
180,1980,George McGinnis,29,24.624505928853754,4.4,7.891324200913242,0.0,0.0,0.0,0,36.915830129766995
181,1980,George McGinnis,29,24.624505928853754,4.9,6.164444444444444,0.0,0.0,0.0,0,35.6889503732982
182,1980,George McGinnis,29,24.624505928853754,3.5,4.666666666666666,0.0,0.0,0.0,0,32.79117259552042
183,1980,George McGinnis,29,23.55731225296443,4.4,7.891324200913242,0.0,0.0,0.0,0,35.84863645387767
184,1980,George McGinnis,29,23.55731225296443,4.9,6.164444444444444,0.0,0.0,0.0,0,34.62175669740887
185,1980,George McGinnis,29,23.55731225296443,3.5,4.666666666666666,0.0,0.0,0.0,0,31.723978919631094
186,1980,Tom McMillen,27,21.980237154150196,4.1000000000000005,5.554088050314466,0.0,0.0,0.0,0,31.634325204464663
188,1980,Dave Meyers,26,22.40118577075099,3.9000000000000004,8.056540084388185,0.0,0.0,0.0,0,34.35772585513918
189,1980,Mike Mitchell,24,19.713438735177867,4.3,8.883739837398373,0.0,0.0,0.0,0,32.89717857257624
190,1980,Steve Mix,32,26.776679841897234,5.1,7.3049382716049385,0.0,0.0,0.0,0,39.181618113502175
191,1980,Sidney Moncrief,22,21.432806324110672,5.6000000000000005,7.155411255411256,0.0,0.0,0.0,0,34.18821757952193
196,1980,Calvin Murphy,31,18.881422924901184,4.5,8.587719298245613,0.0,0.0,0.0,0,31.969142223146797
197,1980,Swen Nater,30,17.527667984189723,5.0,8.930864197530864,0.0,0.0,0.0,0,31.458532181720585
198,1980,Calvin Natt,23,22.75691699604743,4.3,8.862820512820512,0.0,0.0,0.0,0,35.91973750886794
199,1980,Calvin Natt,23,22.75691699604743,4.3,7.393710691823899,0.0,0.0,0.0,0,34.45062768787133
200,1980,Calvin Natt,23,22.75691699604743,4.3,4.910666666666667,0.0,0.0,0.0,0,31.967583662714098
201,1980,Calvin Natt,23,21.628458498023715,4.3,8.862820512820512,0.0,0.0,0.0,0,34.79127901084423
202,1980,Calvin Natt,23,21.628458498023715,4.3,7.393710691823899,0.0,0.0,0.0,0,33.322169189847614
203,1980,Calvin Natt,23,21.628458498023715,4.3,4.910666666666667,0.0,0.0,0.0,0,30.839125164690383
204,1980,Calvin Natt,23,23.91106719367589,4.3,8.862820512820512,0.0,0.0,0.0,0,37.07388770649641
205,1980,Calvin Natt,23,23.91106719367589,4.3,7.393710691823899,0.0,0.0,0.0,0,35.60477788549979
206,1980,Calvin Natt,23,23.91106719367589,4.3,4.910666666666667,0.0,0.0,0.0,0,33.12173386034256
207,1980,Mike Newlin,31,24.365612648221344,4.9,8.417948717948718,0.0,0.0,0.0,0,37.68356136617006
208,1980,Norm Nixon,24,22.409090909090907,3.1,9.400813008130083,0.0,0.0,0.0,0,34.90990391722099
209,1980,Mark Olberding,23,16.41304347826087,3.5999999999999996,7.814666666666667,0.0,0.0,0.0,0,27.827710144927536
210,1980,Tom Owens,30,23.296442687747035,5.3,8.141666666666666,0.0,0.0,0.0,0,36.7381093544137
211,1980,Robert Parish,26,24.893280632411066,4.2,7.743055555555555,0.0,0.0,0.0,0,36.83633618796662
212,1980,Sonny Parker,24,19.92094861660079,6.7,8.941056910569106,0.0,0.0,0.0,0,35.562005527169894
213,1980,Billy Paultz,31,15.57312252964427,4.9,8.210714285714285,0.0,0.0,0.0,0,28.683836815358557
214,1980,Billy Paultz,31,15.57312252964427,5.5,5.7141843971631205,0.0,0.0,0.0,0,26.78730692680739
216,1980,Billy Paultz,31,16.011857707509883,4.9,8.210714285714285,0.0,0.0,0.0,0,29.122571993224167
217,1980,Billy Paultz,31,16.011857707509883,5.5,5.7141843971631205,0.0,0.0,0.0,0,27.226042104673002
218,1980,Billy Paultz,31,16.011857707509883,3.8999999999999995,5.115315315315316,0.0,0.0,0.0,0,25.027173022825195
219,1980,Billy Paultz,31,14.956521739130435,4.9,8.210714285714285,0.0,0.0,0.0,0,28.06723602484472
220,1980,Billy Paultz,31,14.956521739130435,5.5,5.7141843971631205,0.0,0.0,0.0,0,26.170706136293557
222,1980,Roger Phegley,23,18.92292490118577,0.9,7.138461538461538,0.0,0.0,0.0,0,26.961386439647306
223,1980,Roger Phegley,23,18.92292490118577,1.3,5.275333333333334,0.0,0.0,0.0,0,25.498258234519106
225,1980,Roger Phegley,23,18.09288537549407,0.9,7.138461538461538,0.0,0.0,0.0,0,26.131346913955607
228,1980,Roger Phegley,23,20.802371541501977,0.9,7.138461538461538,0.0,0.0,0.0,0,28.840833079963513
229,1980,Roger Phegley,23,20.802371541501977,1.3,5.275333333333334,0.0,0.0,0.0,0,27.37770487483531
230,1980,Roger Phegley,23,20.802371541501977,0.3999999999999999,3.798809523809524,0.0,0.0,0.0,0,25.0011810653115
231,1980,Ben Poquette,24,14.302371541501977,4.199999999999999,8.33130081300813,0.0,0.0,0.0,0,26.833672354510107
232,1980,Kevin Porter,29,23.70750988142293,-1.1999999999999997,6.800952380952381,0.0,0.0,0.0,0,29.30846226237531
233,1980,Clifford Ray,31,18.8399209486166,3.3000000000000003,7.477777777777778,0.0,0.0,0.0,0,29.61769872639438
234,1980,Robert Reid,24,20.620553359683797,6.4,8.098245614035086,0.0,0.0,0.0,0,35.11879897371888
237,1980,Micheal Ray Richardson,24,27.104743083003953,0.0,0.0,0.0,0.0,0.0,0,27.104743083003953
239,1980,Rick Robey,24,22.36758893280632,3.8000000000000003,7.805691056910569,0.0,0.0,0.0,0,33.97327998971689
240,1980,Cliff Robinson,19,25.120553359683793,2.7,7.03952380952381,0.0,0.0,0.0,0,34.8600771692076
241,1980,Truck Robinson,28,22.950592885375492,2.8999999999999995,8.771544715447154,0.0,0.0,0.0,0,34.62213760082265
242,1980,Bill Robinzine,27,25.486166007905137,4.1000000000000005,7.7666666666666675,0.0,0.0,0.0,0,37.35283267457181
243,1980,Dave Robisch,30,17.59683794466403,6.5,8.722764227642276,0.0,0.0,0.0,0,32.819602172306304
244,1980,John Roche,30,16.675889328063242,1.2999999999999998,8.254471544715447,0.0,0.0,0.0,0,26.23036087277869
245,1980,Tree Rollins,24,25.06916996047431,9.3,8.055691056910568,0.0,0.0,0.0,0,42.42486101738488
246,1980,Dan Roundfield,26,28.40711462450593,8.6,8.595061728395063,0.0,0.0,35.0,2nd,80.602176352901
247,1980,Campy Russell,28,23.721343873517785,5.2,5.979674796747967,0.0,0.0,0.0,0,34.90101867026575
249,1980,Lonnie Shelton,24,25.51778656126482,6.7,8.01798245614035,0.0,0.0,0.0,0,40.235769017405175
250,1980,Purvis Short,22,22.130434782608695,4.1,6.7720430107526886,0.0,0.0,0.0,0,33.002477793361386
251,1980,John Shumate,27,16.25296442687747,3.9,6.39025641025641,0.0,0.0,0.0,0,26.543220837133877
252,1980,John Shumate,27,16.25296442687747,5.3,4.677777777777778,0.0,0.0,0.0,0,26.230742204655247
253,1980,John Shumate,27,17.567193675889328,3.9,6.39025641025641,0.0,0.0,0.0,0,27.857450086145736
254,1980,John Shumate,27,17.567193675889328,5.3,4.677777777777778,0.0,0.0,0.0,0,27.544971453667106
255,1980,Jack Sikma,24,27.086956521739133,5.9,8.872764227642277,0.0,0.0,0.0,0,41.85972074938141
